Crop Type,Soil Moisture Level,Growth Day,Weather Forecast,Disease Presence,Maintenance Details
Barley,Medium,54,Rainy,Severe,Barley requires attention due to severe disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,Medium,111,Windy,Severe,Cotton requires attention due to severe disease presence. Use suitable fertilizers and pest control as needed.
Groundnut,Low,56,Windy,Moderate,Groundnut requires attention due to moderate disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Groundnut,High,68,Rainy,None,Groundnut requires attention due to none disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Low,16,Windy,Severe,Wheat requires attention due to severe disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Maize,High,34,Rainy,Mild,Maize requires attention due to mild disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Low,5,Cloudy,Moderate,Rice requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Low,93,Windy,None,Rice requires attention due to none disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Groundnut,High,6,Cloudy,Moderate,Groundnut requires attention due to moderate disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,High,120,Windy,Moderate,Groundnut requires attention due to moderate disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Wheat,Low,97,Rainy,Mild,Wheat requires attention due to mild disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Medium,1,Rainy,Mild,Wheat requires attention due to mild disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,Medium,93,Windy,None,Sugarcane requires attention due to none disease presence. Use suitable fertilizers and pest control as needed.
Millets,High,115,Cloudy,Moderate,Millets requires attention due to moderate disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,Medium,113,Cloudy,Severe,Millets requires attention due to severe disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Low,103,Windy,Mild,Rice requires attention due to mild disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Rice,High,108,Rainy,Severe,Rice requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Medium,39,Rainy,None,Rice requires attention due to none disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,High,74,Sunny,Severe,Millets requires attention due to severe disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Sugarcane,Low,68,Windy,Moderate,Sugarcane requires attention due to moderate disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Groundnut,High,79,Sunny,None,Groundnut requires attention due to none disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Millets,Low,31,Sunny,Moderate,Millets requires attention due to moderate disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Sugarcane,Medium,57,Rainy,None,Sugarcane requires attention due to none disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,Medium,66,Windy,Mild,Maize requires attention due to mild disease presence. Use suitable fertilizers and pest control as needed.
Maize,Low,40,Sunny,None,Maize requires attention due to none disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Sugarcane,Low,63,Windy,Moderate,Sugarcane requires attention due to moderate disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Groundnut,Medium,85,Cloudy,Severe,Groundnut requires attention due to severe disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,Medium,93,Windy,None,Sugarcane requires attention due to none disease presence. Use suitable fertilizers and pest control as needed.
Barley,High,106,Windy,Mild,Barley requires attention due to mild disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Cotton,Medium,35,Windy,None,Cotton requires attention due to none disease presence. Use suitable fertilizers and pest control as needed.
Maize,Low,80,Rainy,Moderate,Maize requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,Medium,113,Sunny,Moderate,Millets requires attention due to moderate disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Millets,Low,109,Rainy,Severe,Millets requires attention due to severe disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Medium,104,Rainy,Severe,Rice requires attention due to severe disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Low,8,Windy,Severe,Wheat requires attention due to severe disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Rice,Medium,107,Rainy,Moderate,Rice requires attention due to moderate disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Low,11,Sunny,None,Wheat requires attention due to none disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Millets,Low,92,Sunny,Moderate,Millets requires attention due to moderate disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Rice,Medium,96,Cloudy,Severe,Rice requires attention due to severe disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,Low,4,Sunny,None,Barley requires attention due to none disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Maize,Low,22,Windy,None,Maize requires attention due to none disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Maize,High,35,Rainy,Severe,Maize requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Low,3,Sunny,None,Wheat requires attention due to none disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Maize,High,101,Windy,Mild,Maize requires attention due to mild disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Rice,Low,111,Rainy,Mild,Rice requires attention due to mild disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,High,29,Cloudy,Moderate,Cotton requires attention due to moderate disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,High,24,Rainy,Mild,Millets requires attention due to mild disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
